1, 41.195 26.433 23.603 36.708 40.35 42.806 48.083 34.545 51 19.35 22.364 25.023 34.463 29.671 54.463 68.76 78.905 83.311 73.427 60.127 40.155 60.651 56.426 69.244 76.583 21.634 43.824 43.881 15.788 57.106 39.81 22.019 43.933 57.202 34.028 31.398 54.776 78.06 108.537 71.849 65.906 111.733 142.077 116.041 68.957 42.246 36.214 36.477 45.84 17.581 46.39 35.743 21.291 48.096 45.878 47.96 55.232 39.388 49.009 58.027 72.917 49.382 60.469 117.345 74.061 93.702 72.609 44.317 49.37 51.593 39.729 37.011 42.981 46.213 67.338 47.358 55.435 48.417 60.903 69.385 42.12 38.524 44.247 46.316 50.302 52.429 50.479 72.12 94.796 28.618 33.61 29.648 22.718 16.444 33.532 29.308 29.62 34.33 25.383 17.026 44.406 36.929 38.791 40.123 42.414 26.319 53.187 30.634 62.988 89.022 36.902 48.25 120.654 59.15 55.018 63.44 31.985 60.288 68.06 27.904 56.014 48.163 54.935 26.018 52.358 30.972 27.741 57.448 43.843 19.081 25.667 20.35 47.226 24.034 35.656 24.279 35.914 30.894 46.182 44.448 50.962 61.623 66.97 84.91 68.922 54.329 54.043 64.37 58.031 81.73 71.965 46.338 49.811 66.906 44.133 48.534 50.139 22.621 37.842 35.73 39.71 46.339 32.864 52.686 64.469 61.701 49.762 51.81 24.473 27.069 37.313 30.464 33.192 36.591 48.272 68.96 34.1 30.972 56.366 63.624 67.861 81.678 43.318 62.436 34.863 59.986 ;
2, 40.024 26.731 23.294 34.708 35.967 41.796 50.833 39.036 57.129 21.1 20.333 25.568 33.194 30.729 55.296 69.76 85.643 88.956 78.354 61.608 39.165 59.095 57 72.378 78.188 21.613 42.157 41.09 15.404 52.682 37.476 20.269 40.45 53.723 32.606 31.523 51.888 72.72 98.944 68.476 69.484 115.893 143.205 115.419 67.237 43.263 34.446 34.068 44.3 18.026 45.5 38.189 21.8 48.181 45.855 47.584 55.242 39 51.667 57.009 74.82 46.753 55.551 108.527 69.924 88.125 67.667 42.268 48.726 53.074 40.562 35.956 43.162 43.28 62.492 48.113 54.087 44.062 61.736 66.808 40.973 37.476 42.652 43.724 48.905 49.679 46.84 68.094 95.618 26.393 31.576 29.246 23.051 15.211 33.216 28.804 29.671 32.366 25.67 16.825 44.069 36.024 39.239 38.062 38.685 24.972 49.92 29.341 59.704 81.798 34.329 45.841 112.936 55.65 53.523 64.973 31.2 58.462 67.52 27.855 56.282 46.033 52.922 26.195 49.168 29.435 26.482 58.259 42.9 18.216 22.98 19.47 44.893 22.845 33.669 23.402 33.853 29.681 44.261 42.719 48.481 59.851 64.762 80.372 65.689 53.071 51.643 59.935 55.985 82.12 70.826 46.208 49.014 64.318 42.617 46.699 47.778 23.01 37.317 33.71 47.44 45.203 32.682 51.6 63.062 60.117 47.635 51.658 25.14 25.839 36.273 31.062 31.242 36.544 47.21 64.182 33.357 30.75 53.671 58.904 62.254 82.224 43.172 61.396 34.255 57.191 ;
3, 38.707 26.846 23.75 32.875 35.633 41.633 51.847 45.655 62.357 19.3 20.955 26.455 34.134 29.971 53.593 66.4 92.845 84.578 78.802 58.696 39.773 57.635 54.738 69.511 71.448 21.032 43.363 42.119 14.885 50.353 33.69 19.788 38.975 52.181 32.465 28.886 48.724 68.72 89.185 63.087 67.578 119.093 130.744 108.176 65.774 40.316 35.893 33.864 42.46 17.026 44.96 37.838 22.555 46.614 45.695 45.304 51.394 38.589 47.895 55.681 72.594 46.101 55.673 103.155 66.333 84.981 66.954 41.146 49.877 50.62 37.583 33.132 42.381 43.973 60.877 45.226 51.424 43.458 58.097 64.106 40.8 35.752 42.607 42.439 46.429 48.17 44.543 65.129 92.044 26.494 31.78 28.656 21.487 14.656 33.216 27.972 30.525 30.304 26.34 20.695 44.327 35.333 43.224 36.215 37.955 24.778 51.333 27.902 56.358 76.584 34.707 46.068 107.667 53.325 51.198 58.88 30.292 55.096 61.36 26.819 55.141 45.187 51.519 25.097 48.042 29.991 27.647 55.19 38.614 18.541 22.737 19.61 42.512 21.241 33.532 22.434 33.129 29.628 41.841 41.812 47.292 57.451 65.337 76.628 64.433 50.929 51.157 58.848 55.015 78.65 73 42.221 51.203 60.329 42.033 45.671 45.958 21.806 35.059 32.89 47.87 44.085 33.682 54.171 57.75 57.636 46.079 47.81 23.892 27.218 34.172 30.009 31.707 33.98 44.84 58.879 30.914 29.917 49.902 56.192 61.636 77.413 41.134 57.14 33.804 55.367 ;
4, 37.61 29.712 21.147 31.896 32.45 40.398 53.264 47.291 62.943 20.25 21.061 26.818 33.716 29.871 56.093 71.54 92.738 79.311 76.75 59.667 39.722 52.984 56.164 65.756 69.542 19.806 43.078 40.612 15.519 48.612 34.238 18.192 38.75 49.043 32.31 28.659 51.082 67.14 85.833 65.389 73.078 115.28 124.103 99.243 67.054 39.43 33.25 32.523 41.84 17.111 44.09 38.581 20.564 45.422 44.664 46.024 52.384 37.279 48.719 53.858 71.797 43.618 57.286 108.409 65.424 79.644 66.966 41.61 48.082 51.157 38.958 32.396 41.895 43.867 60.769 45.962 48.826 42.312 56.528 65.029 39.04 33.248 41.978 42.245 45.778 44.723 41.628 62.259 88.34 23.697 30.949 27.967 21.808 14.167 31.541 26.738 28.323 29.973 25.553 20.221 40.644 37.429 42.448 35.185 40.495 23.694 47.987 28.793 57.037 85.067 33.061 47.625 109.795 55.525 48.613 57.773 29.938 55.135 57.72 27.12 53.563 45.163 52.377 25.425 48.053 30.407 26.412 51.81 39.571 18.595 22.131 18.17 43.845 21.431 32.532 22.418 32.681 31.319 39.795 40.26 44.604 56.215 63.168 72.59 68.056 48.443 50.429 61.522 53.246 78.78 73.919 42.13 48.027 64 41.633 47.562 44.667 21.214 33 32.16 44.61 46.542 31.136 50.914 61 54.961 46.317 46.241 23.946 24.736 34.152 30.295 31.96 36.436 45.728 61.596 33.1 30.028 47.561 53.88 64.613 79.497 43.446 56.631 36.353 56.164 ;
5, 35.512 30.404 21.353 32.167 33.717 40.01 56.181 45.836 58.2 23.1 22.106 28.273 38.672 28.043 61.593 82.88 88.583 76.311 74.229 57.422 42.66 51.651 59.115 65.867 68.51 19.581 42.471 39.716 15.692 46.071 30.571 17.942 37.533 48.255 31.859 28.227 49.622 64.92 81.63 64.365 73.625 106.613 112.692 94.878 70.14 38.974 33.018 32.727 42.38 16.376 45.48 37.959 19.891 46.554 45.588 43.6 49.212 38.845 50.412 55.531 69.346 43.719 58.592 103.455 65.424 76.442 64.31 39.598 46.041 49.343 38 31.319 41.343 44.013 58.277 46.245 48.989 40.521 55.653 60.808 39.747 31.029 41.045 39.929 45.587 43.107 39.426 60.295 86.245 22.955 30.153 27.721 21.872 13.522 32.162 26.981 29.367 29.67 23.5 19.364 43.723 37.095 40.134 33.662 39.189 26.097 53.48 27.939 54.481 85.247 33.793 47.102 105.385 53.85 46.595 57.387 27.646 51.135 61.32 27.518 52.465 43.439 49.922 24.053 46.653 29.139 26.294 52.017 38.657 17.297 22.141 18.01 39.512 20.078 29.429 20.967 32.888 29.426 39.386 38.573 45.057 55.443 63.238 70.192 64.722 48.457 47.557 61.022 53.846 77.86 75.64 42.325 52.176 66.8 41.083 47.479 42.25 21.515 30.743 31.82 49.85 41.678 31.758 49.014 59.156 55.714 45.317 46.747 26.376 25.966 34.808 30.991 32.424 39.013 47.765 56.657 33.957 29.458 46.305 54.28 63.04 80.399 45.637 58.546 35.366 55.355 ;
6, 34.585 31.106 20.559 31.51 34.783 36.51 54.278 46.418 57.4 22.325 20 27.159 39.91 28.6 61.13 84.66 83.083 69.889 70.354 55.48 44.495 52.603 57.623 59.711 63.5 20.495 42.52 38.313 14.827 43.565 27.595 18.385 37.992 44.713 31.113 26.295 48.622 65.78 79 62.317 73.281 101.48 109.051 87.932 66.14 38.228 32.089 33.977 42.04 17.624 46.02 37.878 20.545 46 46.252 45.232 50.545 38.899 47.491 52.85 65.782 42.191 55.714 98.464 62.47 73.163 69.115 38.61 48.849 45.454 36.042 30.967 41.114 44.867 64.585 44.358 49.543 40.667 58.583 61 38.28 30.095 38.876 37.847 44.317 42.036 38.957 59.807 80.471 21.281 29.085 26.877 20.859 14.5 31.64 28.065 29.12 28.884 25.096 19.071 42.238 37.714 41.776 33.877 38.73 26.069 55 26.122 68.741 82.101 34.28 45.409 102.731 50.325 44.856 56.36 28.662 50.846 55.32 24.976 50.944 43.407 50.442 24.619 45.232 27.88 25.165 51.741 38.171 16.919 20.97 16.14 39.44 19.19 29.357 20.877 33.698 30.202 39.841 37.885 41.481 53.455 60.782 69.577 60.667 45.443 47.371 60.478 56.723 79.2 75.953 44.273 62.662 64.424 42.633 46.014 42.486 21.544 30.941 30.12 49.46 40.034 31.97 48.5 71.281 57.935 44.571 46.987 25.903 25.575 33.556 30.589 31.101 38.732 47.247 57.071 36.443 31.028 45.293 51.016 62.428 91.636 42.643 55.253 34.327 55.073 ;
7, 35.561 32.106 21.441 32.99 34.033 36.694 52.556 42.727 55.514 24.425 21.197 28.5 39.955 27.843 64.093 87.28 77.607 64.911 68.552 54.539 46.062 53.333 58.033 60.844 61.698 20.032 41.382 36.687 14.962 43.6 28.262 17.827 36.792 43.862 30.028 26.693 52.051 59.04 74.167 60.452 72.281 95.32 101.487 82.351 64.71 39.026 32.321 32.068 40.06 15.803 43.41 36.027 19.891 44.301 44.344 45.6 48.152 37.876 45.667 50.522 65.188 43.865 55.408 94.382 60.394 71.529 76.103 39.439 49.89 45.657 33.833 29.824 42.162 43.227 71.431 46.358 48.576 39.271 59.264 58.01 36.427 29.505 39.034 36.622 42.571 39.679 37.5 58.492 77.108 21.854 28.814 24.811 21.295 16.622 30.793 28.318 29.525 27.857 24.457 17.571 41.97 35.476 39.358 32.108 37.622 27.083 56.707 27.5 71.728 89.416 33.72 43.136 95.115 49.6 44.82 54.653 28.277 52.404 55.36 26.217 51 43.447 49.727 22.823 46.442 27.056 24.529 49.638 35.757 15.541 19.434 15.78 37.119 17.828 29.494 20.721 34.5 29.053 37.989 36.823 40.509 51.813 58.881 66.731 57.644 46.414 47.6 62.304 58.615 84.83 75.488 43.688 65.797 64.588 40.05 48.014 41.111 21.068 29.614 30.05 45.92 40.237 30.682 50.414 67.375 57.987 42.444 44.329 24.204 25.989 33.253 30.696 30.606 39.208 48.383 54.96 35.714 29.389 44.341 51.336 59.324 86.287 42.159 56.247 34.399 55.576 ;
8, 36.073 33.192 22.544 34.688 33.833 35.276 53.528 42.073 54.243 23.65 20.015 27.114 38.985 27.071 61.574 85.32 71.56 63.022 69.208 53.814 47.299 53.397 54.492 58.978 62.188 19.742 40.696 36.896 14.346 42.494 25.262 17.077 37.233 47.766 30.775 26.67 51.041 59.54 73.185 58.54 73.141 88.587 90.538 80.703 62.817 36.333 30.232 30 38.9 17.06 41.22 34.946 20.282 44.795 43.985 46.672 50.04 37.713 47.281 49.363 62.767 43.09 55.776 87.964 57.788 67.135 71.391 40.317 47.562 45.593 35.646 30.143 40.543 44.08 66.262 46 47.967 38.208 59.375 57.933 35 28.229 38.618 36.694 41.365 38.946 35.904 56.991 76.793 20.607 27.203 25.549 21 15.967 33.189 25.841 28.753 27.696 24.83 18.403 41.624 35.619 38.91 28.138 38.279 30.667 88.213 29.756 71.222 94.753 36.902 41.273 91.628 48.025 44.135 52 26.692 53.519 56.12 27.711 51.873 42.041 49 24.071 45.716 28.769 24.424 52.069 36.529 17.054 17.556 16.35 36.214 17.922 28.312 20.943 33.966 27.777 35.875 36.802 40.283 51.16 58.396 65.462 57.511 45.4 47.586 65.5 58.569 82.79 75.326 46 74.27 62.353 40.633 48.014 40.306 22.223 29.119 27.99 45.81 40.712 30.379 52.6 70.047 58.052 43.476 42.886 26.237 23.621 32.96 29.321 28.192 36.557 47.284 53.152 34.529 28.75 44.061 51.608 58.566 87.329 40.204 56.549 32.601 55.265 ;
9, 32.415 32.154 23.676 34.052 37.667 35.316 49.319 38.109 55.329 21.225 22 24.932 35.597 27.429 56.889 78.12 71.929 56.733 69.865 57.755 46.495 53.032 52.721 56.333 57.115 19.731 38.98 36.851 14.385 40.553 25.548 17.538 39.017 46.117 29.268 26.807 50.01 58.52 71.574 58.817 73.547 84.453 88.974 80.824 60.269 36.123 29.964 31.455 37.18 16.812 39.08 33.514 19.291 44.458 43.107 48.472 58.586 38.419 47.851 51.699 59.556 40.034 54.204 82.082 55.545 67.587 69.126 38.793 47.329 46.389 34.833 30.615 39.181 42.707 63.523 45.849 46.696 37.271 56.528 54.115 34.987 27.076 40.876 34.776 39.825 39.83 34.67 55.377 79.759 21.112 26.237 25.721 20.872 15.711 31.523 27.327 30.323 26.438 24.032 18.435 40.653 35.976 38.567 28.938 37.477 32.069 108.933 27.378 66.753 90.292 39.951 42.784 88.91 43.525 43.748 51.173 27.015 49.346 57.98 26.217 47.704 41.772 49.779 22.451 44.379 28.074 25.141 48.207 35.614 17.973 18.848 15.91 35.321 16.534 28.558 21.123 33.776 27.34 36.42 38.417 42.255 51.866 57.525 64.718 54.567 47.129 45.471 60.696 56.231 81.55 76.942 45.636 77.959 61.765 40.05 48.356 41.319 22.709 28.475 28.75 43.16 38.373 31.091 51.186 71.734 57.818 42.603 41.81 25.624 24.264 31.232 29.071 28.354 36.711 48.679 50.404 33.8 28.347 43.598 49.504 56.925 81.434 41.096 58.43 31.634 53.897 ;
10, 31.585 29.692 21.25 31.74 35.5 35.092 49.806 40.473 54.086 21.5 19.909 25.114 34.776 26.086 55.185 74.2 68.512 59.867 69.021 56.314 45.546 52.27 52.984 57.978 57.781 19.763 40.353 39.194 14.519 39.671 21.524 17.192 38.583 44.553 28.479 24.386 46.633 54.64 70.463 57.175 74.328 82.92 77.333 82 62.14 35.368 29.054 30.364 35.54 16.256 40.84 33.608 19.636 49.12 43.542 47.048 57.586 39.806 46.105 50.106 57.985 42.27 50.388 78.709 51.182 63.683 64.437 37.415 47.425 44.204 34.521 29.044 39.324 42.827 59.908 44.038 46.424 37.229 56.264 55.558 34.973 25.248 40.483 35.49 37.063 36.634 34.181 53.773 76.922 19.607 25.814 25.361 20.231 15.489 32.279 26.953 29.658 26.545 24.351 18.63 41.881 34.357 38.358 28.077 36.892 30.278 110.667 27.366 65.42 84.865 37.402 41.068 85.218 43.95 42.757 51.347 26.615 46.385 54.3 26.494 48.549 42.033 48 23.265 44.232 26.62 24.671 50.776 35.957 17.23 17.737 15.96 34.964 16.897 28.286 19.385 33.845 27.596 37.375 36.177 43.104 52.76 56.693 63.897 53.044 44.671 44.514 60.196 54.8 77.74 74.058 44.649 78.338 58.988 39.45 48.479 42.389 22.427 27.663 28 47.39 39.966 31.091 55.557 71.078 62.935 45.143 43.316 24.699 23.839 30.04 28.062 28.505 37.678 49.63 50.828 33.257 27.583 40.89 48.328 58.306 80.336 38.529 60.747 31.686 52.974 ;
