Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89,Mean90,Mean91,Mean92,Mean93,Mean94,Mean95,Mean96,Mean97,Mean98,Mean99,Mean100,Mean101,Mean102,Mean103,Mean104,Mean105,Mean106,Mean107,Mean108,Mean109,Mean110,Mean111,Mean112,Mean113,Mean114,Mean115,Mean(5.7.14),Mean117,Mean118,Mean119,Mean120,Mean121,Mean122,Mean123,Mean124,Mean125,Mean126,Mean127,Mean128,Mean129,Mean130,Mean131,Mean132
13.356,17.272,15.200,59.346,46.500,29.448,58.620,52.488,67.383,64.226,58.472,42.953,40.239,52.109,21.107,29.011,9.870,34.227,29.407,36.038,8.107,9.111,14.093,18.882,12.891,17.182,15.136,12.621,19.619,8.322,10.068,10.020,7.837,7.282,7.662,6.608,4.258,3.391,8.537,10.323,5.750,17.384,19.473,7.822,13.584,13.653,17.000,8.507,18.257,25.754,21.855,13.600,28.013,16.368,12.158,9.852,16.467,15.843,19.120,25.978,19.460,25.108,25.763,18.540,19.066,16.202,12.380,12.798,6.083,9.815,17.232,16.957,12.197,22.304,35.030,26.484,30.281,17.303,40.582,45.951,46.098,38.716,33.198,16.887,35.732,26.244,23.449,24.793,27.267,28.733,35.151,70.787,56.408,58.207,42.482,57.167,63.037,67.600,64.798,79.988,59.576,37.755,42.403,75.140,29.857,46.500,63.398,32.611,34.667,31.192,18.885,26.077,44.480,29.588,25.393,34.431,16.328,19.219,24.613,24.714,25.393,21.932,9.041,10.120,14.275,15.545,8.132,5.109,11.598,17.033,39.621,14.672
14.260,17.553,15.852,55.673,43.254,28.353,53.682,53.037,63.407,60.957,52.302,41.654,37.113,47.964,21.307,26.778,10.417,31.706,28.735,32.423,8.268,8.236,13.480,17.866,12.153,18.287,14.727,11.000,17.714,7.975,10.197,8.961,8.096,7.171,8.076,6.451,4.000,3.429,8.907,10.311,6.008,16.151,18.782,8.288,12.623,13.720,16.947,8.769,18.750,21.198,19.736,12.200,27.750,15.895,12.614,9.352,16.707,15.071,18.000,25.267,18.337,22.627,24.964,18.460,19.426,15.258,11.533,13.563,6.492,9.098,16.042,16.200,11.493,22.333,33.446,25.109,30.148,16.576,40.284,42.845,42.520,36.582,31.346,15.547,32.485,26.089,22.310,23.538,26.356,25.943,31.677,65.355,54.466,57.060,42.812,55.333,57.383,67.475,60.298,72.625,55.365,35.245,39.202,69.070,28.870,43.254,60.045,34.556,33.333,31.500,19.885,26.954,41.020,27.235,23.071,33.889,16.320,19.124,21.893,20.229,24.857,20.441,8.694,10.660,14.088,16.136,8.896,4.613,10.745,16.520,36.045,14.340
13.740,16.612,16.113,52.423,40.952,26.578,51.310,45.280,57.679,60.312,50.604,41.409,37.704,44.836,20.560,24.478,10.083,31.192,27.018,31.048,7.643,8.361,11.573,17.723,12.212,16.434,13.627,11.114,16.829,7.347,9.515,9.196,7.346,6.470,7.796,6.559,4.213,3.519,8.944,9.928,5.935,16.137,18.618,8.153,12.701,12.560,17.526,8.485,17.436,21.492,19.991,12.650,24.079,14.623,12.167,9.080,16.315,14.214,17.511,24.444,19.055,24.314,24.189,19.394,18.581,15.135,11.793,13.025,6.608,8.141,17.169,14.687,11.352,21.072,30.780,22.609,27.296,15.485,38.358,42.670,41.206,37.731,29.160,13.943,32.165,24.390,21.171,21.621,23.663,24.352,32.075,60.245,48.786,52.931,38.847,52.617,54.605,59.950,55.298,69.750,53.047,33.898,36.669,64.326,26.494,40.952,57.318,30.037,30.844,30.244,18.590,24.615,39.340,28.549,21.857,31.917,16.305,19.095,20.147,23.171,21.196,19.780,9.612,10.840,14.703,15.352,8.594,5.131,10.500,16.171,33.455,13.838
13.163,15.262,14.809,51.942,38.183,26.284,48.473,45.451,55.914,55.462,47.717,38.976,36.634,42.909,19.080,25.078,9.963,28.784,25.062,28.288,7.161,7.458,13.293,16.185,12.920,15.972,13.673,10.779,16.029,7.297,9.841,9.598,7.279,6.650,7.828,5.922,4.348,3.429,8.435,10.263,6.605,18.000,19.509,9.119,12.974,13.893,16.389,8.157,17.021,22.333,17.455,12.030,22.553,15.009,11.421,8.716,15.272,14.271,18.120,24.256,20.380,26.598,24.728,17.540,17.632,16.753,12.467,13.958,6.142,8.315,16.486,15.670,13.183,20.174,29.155,22.250,26.333,15.394,36.104,39.029,38.020,32.627,28.481,14.151,30.567,23.764,20.468,22.152,21.931,24.819,29.161,56.523,45.777,48.052,38.988,51.067,51.617,57.275,51.872,61.275,50.859,29.888,33.589,59.814,26.299,38.183,55.193,27.870,29.600,29.962,18.361,21.108,38.100,24.471,21.238,29.708,15.648,18.238,20.227,21.429,22.375,19.508,8.939,12.000,13.549,16.182,8.953,5.146,10.873,15.947,31.020,12.978
11.856,15.417,14.435,46.596,36.762,24.966,44.310,41.329,51.481,52.430,46.113,34.890,32.183,39.073,18.627,23.833,10.204,27.020,23.823,26.548,7.482,8.042,12.133,17.336,12.219,16.406,14.036,11.043,15.333,7.839,9.076,8.520,7.413,5.957,7.726,5.990,4.494,3.541,8.472,9.407,6.831,16.685,19.182,8.661,11.519,13.293,15.400,7.410,15.814,20.690,17.764,11.620,21.842,13.316,11.974,9.011,12.870,13.914,18.348,22.822,20.411,25.118,23.000,17.453,17.934,15.427,11.652,13.681,6.167,8.141,14.803,15.522,11.775,18.377,28.071,21.094,24.296,14.682,32.157,37.262,37.020,31.015,28.605,14.075,28.124,22.707,19.563,20.283,21.386,22.219,28.398,54.232,44.087,47.043,36.165,48.683,45.210,52.425,48.245,60.875,49.506,29.571,31.960,56.558,26.468,36.762,51.830,29.463,25.756,27.090,16.262,21.523,35.080,25.118,19.560,28.417,15.164,16.971,20.813,19.257,22.518,17.847,9.306,10.800,12.725,14.898,8.821,5.051,9.569,15.765,29.215,12.895
13.125,15.621,15.626,41.981,34.675,23.828,43.612,41.024,47.593,49.817,39.415,32.622,29.986,38.555,17.613,22.544,10.157,26.548,21.699,24.538,6.768,7.167,13.093,16.630,10.898,16.091,14.236,11.321,14.400,7.042,9.333,8.549,6.923,6.043,8.013,6.284,3.899,3.564,9.167,10.880,7.790,14.959,16.636,9.008,10.519,12.280,17.116,8.216,16.836,18.905,17.536,11.100,19.671,13.956,10.895,8.352,14.207,13.071,17.543,20.967,19.638,21.922,22.178,17.766,17.647,14.360,12.641,14.261,5.933,9.391,14.845,14.339,11.845,18.406,24.607,18.188,22.348,13.818,31.179,34.029,33.441,27.552,25.840,11.679,25.969,22.016,17.437,18.979,19.495,22.486,25.548,51.419,41.563,42.353,34.671,45.667,46.370,49.125,47.000,56.425,46.812,27.990,30.952,51.884,28.065,34.675,47.307,28.093,25.689,27.872,15.984,22.338,32.300,24.098,21.345,27.681,15.094,16.667,19.453,18.143,20.732,17.271,8.327,10.880,13.187,14.750,8.094,4.606,9.853,15.643,27.896,13.347
11.913,16.417,14.243,40.058,30.302,22.931,37.543,35.659,45.074,45.871,38.302,30.795,28.958,34.400,18.920,21.433,10.380,25.519,21.991,22.683,7.268,7.319,10.960,16.647,10.832,14.483,14.427,10.357,13.505,7.839,9.174,8.804,8.125,7.487,7.930,6.431,4.573,3.511,9.815,11.072,7.605,16.342,15.800,8.585,10.623,12.533,15.684,8.351,16.814,19.222,16.409,10.710,20.776,14.316,10.526,8.682,14.000,12.771,15.978,20.911,19.675,22.167,22.331,16.482,17.412,14.640,11.304,13.966,6.492,7.815,14.225,14.748,11.338,17.942,23.333,19.047,20.704,14.697,30.590,31.505,32.569,27.896,23.704,11.868,26.227,20.642,18.772,19.200,19.446,20.248,25.753,49.858,37.806,43.069,33.882,43.150,41.136,47.925,45.553,54.388,45.200,27.633,28.855,50.256,24.494,30.302,46.307,30.907,23.200,26.436,16.295,21.692,28.540,23.157,19.833,28.292,14.531,15.724,18.120,18.886,21.554,16.780,10.245,11.060,14.187,16.136,7.972,4.985,10.559,15.757,26.647,13.362
12.038,15.155,12.826,38.375,29.627,21.284,36.457,35.744,41.148,41.882,35.698,30.268,28.254,33.891,16.333,22.222,9.787,24.267,20.407,21.663,7.536,7.792,10.587,16.319,11.745,14.329,12.873,10.171,13.943,7.432,10.144,8.931,7.154,6.744,7.197,5.598,4.326,3.256,9.583,10.832,6.831,16.205,16.691,7.992,10.299,10.400,14.853,8.022,16.579,18.754,17.855,11.990,22.671,13.895,10.439,7.727,12.467,11.586,15.217,19.267,18.411,21.039,22.911,15.723,17.074,14.258,11.326,14.101,6.042,8.935,13.613,13.304,11.408,15.565,24.238,15.109,20.763,13.894,28.761,30.029,30.167,28.582,23.938,12.547,23.619,19.634,18.354,17.372,18.287,18.876,23.280,46.032,37.398,40.750,33.882,40.917,38.938,42.075,40.926,50.975,42.847,27.102,27.992,47.837,22.740,29.627,44.034,26.926,23.467,23.115,16.197,19.815,29.440,23.000,18.845,24.319,15.016,15.886,17.493,16.629,18.625,16.390,8.714,10.680,15.055,16.852,8.953,4.891,10.363,15.679,25.477,13.241
10.548,14.155,13.678,37.971,27.516,19.181,32.822,33.585,40.494,40.925,34.623,27.717,28.887,31.791,16.533,20.544,10.222,23.689,19.611,20.010,7.964,6.319,10.907,15.008,11.445,14.706,13.573,10.486,12.752,7.525,9.273,9.098,7.298,6.359,7.102,6.245,4.213,3.805,9.880,10.120,6.847,17.315,16.527,8.178,9.766,12.227,15.537,7.343,16.536,18.230,15.745,11.990,26.329,14.395,11.579,7.568,11.870,11.400,16.174,19.567,18.810,20.186,22.893,16.095,16.169,15.910,11.250,12.681,5.958,7.728,14.204,13.191,12.099,15.652,22.315,16.781,20.674,12.682,27.701,29.485,28.225,25.955,23.778,12.283,23.124,18.382,16.658,16.897,18.525,19.562,23.634,43.116,37.612,38.595,29.776,39.433,35.840,40.000,38.553,49.950,41.706,25.694,26.556,44.977,24.169,27.516,41.580,25.926,20.600,22.205,15.984,17.738,28.140,20.392,19.702,25.125,13.797,15.705,18.373,15.343,20.518,15.153,9.735,11.240,16.308,18.057,8.264,4.964,10.235,15.284,24.329,13.581
10.817,14.437,11.670,33.760,27.905,19.716,33.876,33.634,38.506,40.645,35.377,25.976,25.901,29.918,15.507,19.478,10.037,22.894,19.239,20.635,6.964,6.250,11.547,14.328,11.153,14.210,13.118,10.043,12.943,6.881,9.500,8.363,7.365,6.513,7.987,5.735,4.011,3.496,9.389,10.036,6.847,16.753,16.418,7.788,9.701,10.947,15.358,7.410,16.164,17.405,15.409,10.250,24.974,14.579,10.509,8.682,12.109,12.643,16.261,18.278,16.957,20.912,21.757,16.285,16.404,16.326,11.587,14.798,6.217,7.750,13.415,13.157,10.479,15.159,20.744,14.656,17.748,12.076,26.269,26.456,28.510,24.851,18.963,11.660,24.062,19.301,15.981,17.241,17.297,18.933,21.957,43.265,34.476,36.474,28.412,38.150,37.407,40.175,38.160,48.800,39.906,26.143,25.871,44.233,24.026,27.905,41.091,24.648,22.178,21.590,17.311,18.277,25.120,21.255,18.226,25.347,14.070,16.610,17.587,16.829,19.500,16.034,11.061,10.920,17.923,21.398,8.358,4.891,10.196,14.930,23.857,14.093
11.308,14.369,12.130,33.000,23.310,19.181,30.240,33.402,36.556,35.903,33.415,25.094,21.817,29.645,16.800,19.333,10.019,22.731,17.513,18.654,7.214,7.181,11.240,14.353,10.978,14.294,12.300,9.993,11.286,6.720,9.720,8.971,6.558,6.598,7.860,6.088,4.506,3.609,9.222,10.623,6.806,15.822,16.200,7.983,9.468,11.653,14.200,7.619,15.200,17.714,16.809,10.820,24.684,13.904,11.281,6.943,11.174,11.957,15.815,18.533,17.227,18.578,20.811,15.547,16.110,14.798,12.043,14.067,6.592,7.946,12.056,12.739,10.662,15.435,19.161,14.312,18.422,13.545,24.097,27.175,26.304,22.418,20.444,11.302,21.598,17.203,15.785,16.766,17.386,17.695,20.968,40.174,32.612,35.750,29.482,38.683,33.012,35.925,38.660,44.475,40.365,21.694,24.782,43.186,23.545,23.310,39.409,23.704,20.511,20.564,16.656,18.246,25.160,20.647,18.417,24.556,13.586,15.771,16.427,17.714,18.786,15.559,11.020,11.720,17.890,21.682,8.547,4.562,9.471,14.528,22.971,13.607
9.885,13.417,12.209,32.375,23.571,17.776,29.372,29.963,32.815,36.495,31.396,24.323,22.789,25.773,16.213,18.200,10.000,21.184,16.965,17.481,7.143,7.542,11.827,14.815,10.766,14.867,12.882,9.421,12.086,8.153,10.091,8.833,7.433,6.205,7.089,6.216,4.303,3.308,10.213,9.934,7.323,15.068,16.182,7.831,9.026,9.667,15.368,6.716,15.414,16.000,14.355,10.610,23.974,14.272,10.702,8.830,11.348,12.971,16.000,16.700,16.362,19.814,19.621,15.854,16.728,15.607,11.870,13.370,5.892,7.609,13.127,12.713,11.845,14.841,19.518,14.828,17.074,12.833,23.731,25.282,24.108,23.060,19.765,10.057,21.711,16.846,15.582,16.786,16.634,17.019,21.086,40.110,31.835,34.569,27.824,36.950,32.654,35.850,34.468,43.787,35.400,24.194,23.750,41.721,21.429,23.571,37.023,23.426,19.356,19.667,16.820,17.477,24.720,20.608,17.190,22.389,12.875,16.648,16.733,16.057,17.714,14.390,10.265,10.980,17.440,21.307,8.557,4.650,10.559,14.959,22.635,13.344
9.769,13.738,12.470,29.365,23.794,16.440,27.946,28.671,33.901,33.505,29.792,21.724,21.718,25.200,16.627,18.367,9.741,21.350,15.814,17.250,8.268,6.097,10.720,14.210,9.905,13.322,12.209,9.614,10.038,7.195,9.318,9.451,8.173,6.778,7.834,6.118,4.045,3.617,8.935,9.725,7.782,14.877,14.291,8.347,8.195,11.760,15.853,7.373,15.643,17.071,14.564,9.530,20.487,12.974,10.474,8.727,11.163,12.157,15.707,16.311,15.871,19.147,20.219,14.022,15.390,14.955,12.174,13.756,6.167,7.772,11.556,11.713,12.437,14.522,18.685,14.422,16.726,11.333,23.604,23.252,22.931,21.090,18.654,10.811,20.134,16.366,15.013,16.441,15.891,16.371,21.548,37.800,31.573,34.164,26.835,35.500,30.815,36.025,33.468,39.862,35.294,23.867,22.694,38.698,21.039,23.794,36.091,22.167,18.778,19.103,16.213,17.308,23.640,20.961,17.024,22.806,14.172,17.267,16.053,17.029,16.375,15.458,10.673,11.460,16.879,22.636,8.425,4.642,9.657,14.751,22.181,13.378
