Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73	Mean74	Mean75	Mean76	Mean77	Mean78	Mean79	Mean80	Mean81	Mean82	Mean83	Mean84	Mean85	Mean86	Mean87	Mean88	Mean89	Mean90	Mean91	Mean92	Mean93	Mean94	Mean95	Mean96	Mean97	Mean98	Mean99	Mean100	Mean101	Mean102	Mean103	Mean104	Mean105	Mean106	Mean107	Mean108	Mean109	Mean110	Mean111	Mean112	Mean113	Mean114	Mean115	Mean116	Mean117	Mean118	Mean119	Mean120	Mean121	Mean122	Mean123	Mean124	Mean125	Mean126	Mean127	Mean128	Mean129	Mean130	Mean131	Mean132	Mean133	Mean134	Mean135	Mean136	Mean137	Mean138	Mean139	Mean140	Mean141	Mean142	Mean143	Mean144	Mean145	Mean146
58.608	80.093	98.614	90.791	96.570	110.573	94.000	118.829	117.721	95.297	151.522	105.405	78.806	87.827	140.179	119.758	85.363	77.706	58.011	80.011	60.983	85.626	94.907	69.987	66.694	68.389	68.194	60.225	61.202	128.132	125.154	107.899	65.293	57.119	145.848	54.971	54.500	51.080	48.667	48.117	41.289	55.720	49.554	48.764	57.758	46.412	67.561	46.605	75.374	60.914	77.563	72.229	72.483	67.162	77.459	55.351	50.489	38.723	92.763	69.867	78.764	61.292	71.500	64.748	46.119	42.589	46.128	44.768	63.042	63.660	69.701	63.740	72.389	79.034	90.266	180.306	89.842	155.519	188.319	101.844	90.539	75.553	75.205	54.093	58.637	51.805	59.571	75.068	80.545	117.006	64.144	75.604	137.500	93.778	83.412	146.378	94.921	103.725	81.557	83.483	111.684	101.496	130.179	78.529	133.706	94.396	157.458	80.231	158.724	129.721	110.735	84.229	99.909	94.036	108.610	66.964	44.463	51.727	44.363	61.342	64.101	66.759	61.604	82.731	63.806	52.489	53.489	56.891	41.260	57.565	57.027	51.118	71.482	95.865	86.731	56.835	51.743	51.066	48.806	53.254	39.407	42.333	55.467	128.862	224.905	137.986
55.804	78.645	97.257	94.851	94.949	114.573	94.321	118.400	120.500	102.153	150.826	105.976	81.542	88.093	139.115	116.179	84.941	84.941	56.161	81.411	63.508	87.222	95.167	69.400	67.083	68.370	70.250	62.125	64.433	128.451	125.538	109.116	67.579	55.690	146.891	58.147	56.625	49.795	48.794	45.691	41.684	53.671	49.938	47.775	53.621	45.473	66.872	48.374	72.348	59.473	70.958	65.800	69.360	66.096	77.673	52.622	47.660	39.179	109.680	71.547	80.486	64.708	74.043	66.333	46.738	43.749	42.846	44.696	66.133	61.480	68.898	64.600	69.944	84.371	90.853	173.551	89.608	151.635	186.261	101.922	89.427	75.659	76.500	52.140	58.206	51.338	58.741	75.893	82.416	114.580	63.180	77.662	129.757	96.717	82.247	142.685	92.315	106.255	80.911	81.638	109.531	100.992	129.145	83.500	131.778	96.453	154.188	81.190	159.121	124.315	110.143	81.510	100.344	95.494	106.951	65.238	44.093	49.325	45.330	59.075	64.465	66.714	62.229	85.355	62.087	48.446	54.745	53.851	40.030	60.491	55.014	52.829	71.464	92.135	82.115	57.176	51.343	48.013	47.896	53.542	40.864	41.333	51.333	129.172	225.202	136.622
56.039	79.766	95.100	95.343	98.835	116.437	93.357	118.314	118.462	97.901	146.130	113.738	79.708	90.293	134.660	115.232	83.078	85.000	55.194	79.489	63.847	87.111	96.676	70.627	65.528	67.963	73.222	63.900	63.106	131.879	124.714	107.072	65.443	59.071	143.565	55.902	57.056	47.500	47.029	46.840	40.289	55.598	49.723	50.067	57.606	47.794	66.543	47.490	74.800	63.624	72.282	70.514	73.652	65.221	80.969	54.541	48.277	39.295	120.784	72.540	83.708	62.000	72.114	64.490	45.690	43.348	41.538	45.366	64.972	63.270	68.787	59.340	71.833	81.491	87.046	167.633	89.100	149.038	186.580	99.689	91.629	77.917	76.049	50.791	59.902	49.195	60.518	74.350	77.406	115.580	64.743	74.890	131.000	96.717	81.784	135.874	94.910	101.902	78.000	81.293	111.939	101.353	126.779	79.801	130.000	90.491	156.302	80.711	159.793	126.595	108.918	80.958	100.182	94.988	109.341	65.893	43.315	51.364	45.341	59.600	65.626	65.321	63.500	80.108	60.990	49.815	57.340	58.475	38.550	60.167	52.644	50.342	73.357	88.622	76.500	60.471	51.757	47.447	47.119	49.847	40.475	41.562	57.333	128.121	223.786	134.108
56.980	77.766	95.171	93.507	96.418	115.631	94.696	118.200	119.750	99.847	149.507	103.310	84.347	88.587	129.327	113.200	87.843	99.118	56.290	90.867	66.729	85.091	100.352	67.547	61.889	66.926	78.889	62.975	62.010	127.110	122.143	106.304	66.871	57.095	147.848	53.647	54.611	50.000	50.892	45.734	39.816	53.280	48.938	47.157	56.500	44.885	67.646	48.571	75.113	64.161	73.535	71.657	74.876	68.529	78.939	55.054	47.745	39.036	126.701	72.840	78.417	61.792	69.629	64.007	45.012	43.232	40.615	45.009	66.084	62.290	65.173	64.880	73.278	85.552	90.468	168.286	88.092	153.692	186.391	97.767	91.213	75.447	74.344	52.581	59.255	52.558	61.188	76.689	80.446	119.337	63.790	76.175	134.557	95.919	82.124	146.333	96.551	101.784	82.443	80.121	109.418	101.887	125.848	81.331	128.634	95.132	153.031	87.041	158.207	125.198	107.714	82.312	101.286	95.614	103.854	62.738	40.296	52.688	47.209	59.083	64.808	63.098	62.427	77.387	60.942	52.598	58.851	59.832	39.210	59.120	49.370	52.421	78.054	91.946	83.846	58.318	50.486	48.829	47.910	53.305	39.373	41.625	50.500	131.948	227.702	135.000
56.824	79.402	98.157	92.896	97.228	117.874	93.625	119.857	120.221	97.090	146.159	104.619	84.125	91.960	127.218	111.263	86.216	103.029	56.742	85.467	64.339	85.556	97.250	70.173	65.611	66.852	79.361	60.250	62.923	128.242	119.725	102.420	66.186	53.167	139.457	54.314	53.431	51.466	49.137	49.106	41.658	55.939	49.377	50.888	57.712	47.545	67.006	50.510	72.843	65.570	71.775	67.114	74.270	68.566	77.245	50.892	49.840	39.723	128.227	70.793	80.014	64.917	69.157	64.190	45.262	42.807	39.231	43.598	65.629	61.420	66.110	62.740	72.444	82.250	88.633	165.082	89.617	156.269	189.203	99.478	88.573	76.250	74.008	52.558	60.814	50.831	59.509	76.282	77.515	114.811	64.491	76.104	132.414	96.263	81.629	142.153	95.730	100.255	80.899	79.500	107.786	98.241	123.317	79.669	128.712	94.698	148.583	90.678	146.845	122.847	102.878	80.812	99.019	94.602	109.659	65.333	44.685	49.961	44.912	58.992	64.000	65.402	62.323	82.505	61.379	52.076	57.234	56.901	40.050	57.889	51.589	51.737	70.768	92.811	78.885	58.447	49.186	49.553	46.224	49.441	39.949	39.083	54.867	126.655	233.190	133.108
56.412	77.196	99.986	93.791	94.089	115.854	95.920	122.929	121.087	99.423	147.174	104.476	86.375	88.200	125.673	112.000	86.167	106.471	54.871	86.167	69.051	87.273	97.519	69.907	64.944	65.889	80.194	61.975	59.538	122.802	121.648	108.261	65.586	59.429	146.870	55.343	55.792	50.932	48.745	47.681	41.184	56.451	49.231	50.124	57.439	46.061	67.762	48.075	77.183	65.301	68.239	67.486	65.551	67.353	74.245	57.865	48.755	37.580	130.443	70.427	80.625	64.333	73.357	64.946	45.429	44.493	40.179	43.884	66.483	63.530	64.819	62.020	70.833	82.595	90.587	165.163	90.708	159.385	194.464	100.811	92.865	75.068	75.303	52.837	60.225	53.039	60.366	74.767	79.505	113.414	64.719	77.481	133.643	97.697	82.062	145.108	92.506	102.118	82.772	84.466	109.918	97.571	122.959	78.279	125.725	95.094	148.042	91.413	150.966	123.928	102.163	83.729	97.844	95.590	105.317	63.821	44.481	52.377	43.363	57.067	66.293	65.821	62.531	81.204	62.485	51.696	62.872	62.129	39.450	59.509	50.959	53.237	74.393	93.162	84.692	58.353	52.571	47.737	46.507	53.203	38.661	40.521	51.767	129.224	230.060	139.676
55.627	79.215	96.929	96.746	98.405	118.398	98.902	121.943	122.712	98.937	146.188	104.833	83.333	91.067	124.192	111.589	85.137	108.353	56.269	88.078	67.831	87.687	93.306	69.360	66.417	67.185	82.333	60.625	61.308	127.802	120.429	106.667	65.214	59.262	146.304	57.765	54.500	51.761	46.520	46.851	40.658	56.890	48.323	51.798	56.462	45.630	67.744	48.299	72.652	65.591	72.296	69.029	70.685	69.213	79.388	55.000	47.213	38.321	126.402	71.900	81.250	60.375	70.629	63.769	45.405	41.681	42.692	45.661	64.664	61.650	66.685	66.040	71.417	82.328	88.927	167.612	89.525	159.231	194.261	102.867	89.337	73.962	73.115	49.047	57.961	51.818	59.973	74.456	80.228	114.272	66.024	76.909	133.671	95.667	78.701	143.495	94.225	101.706	82.114	79.259	112.612	99.722	120.517	80.890	121.373	90.396	144.792	92.405	154.448	122.631	100.306	80.354	100.812	96.482	105.634	63.500	43.019	49.987	46.956	58.525	65.707	64.152	59.552	81.301	60.388	54.587	67.851	63.089	39.460	59.213	50.836	55.947	73.429	91.324	79.654	56.541	52.757	51.934	49.269	52.610	39.034	41.979	53.000	129.621	226.583	140.392
54.941	78.364	93.571	95.836	95.962	118.019	102.375	124.071	123.798	96.541	140.435	104.286	84.708	89.787	124.090	111.800	86.088	106.029	54.495	88.078	64.220	84.485	94.157	68.493	64.389	69.315	81.944	63.575	63.000	132.264	124.407	105.957	68.314	57.238	147.391	57.245	52.819	49.989	47.951	48.543	41.789	55.183	49.038	49.854	59.288	46.006	68.634	47.163	75.904	63.473	73.113	69.600	72.090	67.471	79.031	56.676	49.638	40.152	128.340	70.733	79.722	64.500	70.171	64.129	46.393	42.821	45.205	43.232	65.839	62.430	67.087	59.880	70.639	77.733	89.468	161.878	85.658	158.077	194.928	99.756	89.202	79.985	72.467	54.907	57.510	51.766	58.295	74.777	80.129	112.349	63.982	76.812	130.743	93.939	79.649	141.919	91.820	99.784	82.228	79.276	114.429	99.128	118.917	78.301	119.869	94.434	147.833	91.372	154.741	123.216	101.245	83.625	97.481	95.470	100.439	63.310	42.296	50.351	42.132	60.442	65.061	64.661	59.823	81.742	60.641	53.815	67.532	62.772	40.470	58.296	46.589	52.724	74.393	84.649	79.115	56.906	52.186	48.500	44.373	52.661	38.712	43.083	53.700	130.690	221.333	144.054
59.000	81.430	91.957	95.672	97.278	118.087	103.455	124.043	123.923	99.369	141.435	104.810	84.972	87.107	122.917	112.337	87.804	114.794	55.387	90.556	66.153	88.081	94.991	71.307	61.417	68.593	82.861	61.500	58.625	135.220	124.626	109.478	69.800	60.571	152.391	53.422	53.625	47.273	47.108	46.926	40.211	57.524	47.215	50.629	57.992	46.091	68.640	50.000	75.861	63.140	69.972	66.971	68.697	67.721	77.255	56.405	49.074	39.527	127.660	70.147	79.875	61.208	71.714	64.619	43.774	42.203	41.564	42.848	65.573	62.520	67.213	65.300	70.694	80.397	91.009	167.000	87.108	157.288	196.696	98.044	91.742	76.894	76.164	52.535	59.127	51.545	57.500	75.087	77.673	111.432	65.180	72.571	132.100	90.970	76.258	138.081	94.034	98.804	82.975	83.500	111.214	95.737	117.890	78.154	118.059	93.170	145.531	90.826	155.207	120.324	98.367	81.365	98.240	93.217	101.268	64.131	43.963	51.260	44.165	57.383	65.414	62.616	58.260	81.022	59.767	52.717	70.213	63.099	39.000	58.731	45.219	54.816	71.446	82.757	78.077	59.224	51.286	47.658	51.075	51.627	38.034	38.625	59.567	127.103	222.131	138.622
54.569	82.645	93.043	95.672	94.924	121.515	108.786	128.429	127.058	96.631	136.362	103.476	84.389	88.667	123.526	108.621	92.265	121.618	56.151	96.189	66.203	87.859	96.370	66.987	62.417	64.796	83.806	58.275	56.913	135.286	121.549	111.304	68.286	61.071	142.196	54.392	57.167	50.773	50.529	45.426	40.263	55.220	50.085	51.528	56.205	47.891	67.396	49.388	72.991	63.344	69.211	70.143	71.303	68.816	78.214	55.108	50.415	39.652	131.165	69.780	80.528	62.708	75.557	63.721	48.071	42.232	39.282	42.375	63.748	62.040	65.858	63.000	75.194	80.888	91.835	165.796	87.442	153.692	192.768	100.378	91.865	75.455	75.877	50.326	61.304	51.091	60.036	77.320	80.792	109.249	65.216	76.429	127.500	91.141	78.567	138.514	94.371	100.843	83.354	82.345	108.490	96.143	117.048	77.493	113.732	97.434	146.219	90.207	146.879	121.910	100.551	80.156	98.091	91.687	100.415	62.583	45.019	50.818	44.912	55.525	64.253	58.732	59.281	77.043	61.068	56.565	73.723	70.723	37.920	57.444	47.630	53.421	71.464	90.108	78.115	55.765	52.471	46.934	46.836	51.356	40.593	40.604	53.933	125.414	213.595	138.824
