 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59
250,1672.477,1450.411,1182.316,1310.667,1157.856,1508.113,1348.101,1273.164,1513.310,1535.363,1581.513,1541.049,1364.713,1357.677,1464.987,1223.697,2280.221,1665.890,1379.828,1701.138,1447.286,1376.849,1685.823,1261.836,1415.289,1543.503,1973.015,1546.038,1753.721,1692.042,1761.923,1379.450,1630.265,2224.352,1446.332,1405.000,2580.572,2424.359,1283.659,1179.733,1214.855,1341.096,1361.258,1207.445,1730.385,1188.610,1462.679,1908.481,1336.806,1408.333,1228.198,2381.790,1371.657,1318.920,2038.639,1274.491,1310.794,1331.025,1332.593
251,1641.151,1488.082,1174.466,1313.857,1156.381,1528.927,1356.541,1261.288,1517.456,1532.924,1615.417,1555.357,1363.779,1353.747,1457.605,1224.614,2285.400,1606.323,1397.969,1687.014,1456.220,1374.267,1616.823,1253.936,1439.577,1566.172,1935.757,1548.217,1765.240,1674.278,1774.198,1374.278,1607.427,2222.517,1445.861,1452.821,2554.767,2451.626,1275.538,1174.587,1200.863,1348.887,1398.197,1236.727,1681.487,1182.714,1499.938,1919.747,1339.447,1376.775,1208.052,2391.350,1404.970,1306.025,1992.986,1271.482,1266.065,1335.566,1332.907
252,1670.884,1466.733,1174.402,1342.274,1162.777,1555.391,1346.862,1260.192,1510.865,1515.070,1622.864,1540.238,1328.279,1376.657,1472.105,1193.379,2296.284,1622.463,1379.109,1716.428,1427.637,1347.758,1664.451,1265.264,1392.237,1568.000,1912.728,1570.098,1776.194,1709.139,1766.588,1355.497,1634.610,2205.835,1436.877,1437.179,2502.594,2454.420,1290.319,1180.316,1172.511,1335.650,1378.606,1206.695,1690.615,1196.987,1437.074,1912.949,1363.592,1369.946,1230.868,2356.980,1403.000,1296.414,1969.431,1275.196,1270.813,1311.033,1339.458
253,1697.860,1473.479,1176.460,1337.988,1174.101,1523.430,1368.973,1276.623,1523.135,1528.038,1588.005,1548.937,1336.164,1335.303,1481.276,1223.186,2284.242,1640.713,1383.883,1705.014,1490.945,1367.061,1631.464,1270.579,1405.371,1558.393,1960.198,1553.516,1762.008,1701.014,1755.819,1386.861,1558.346,2226.483,1437.390,1451.286,2481.895,2400.267,1300.670,1191.816,1192.710,1335.633,1391.833,1216.641,1659.692,1201.695,1475.778,1891.203,1356.719,1396.822,1234.779,2348.170,1406.838,1282.716,1925.389,1260.625,1274.262,1323.066,1336.093
254,1655.198,1438.514,1167.937,1330.786,1156.525,1531.775,1338.046,1253.993,1530.251,1516.414,1597.060,1532.930,1332.328,1371.202,1442.434,1200.621,2249.832,1614.603,1376.375,1694.655,1457.813,1323.630,1628.588,1266.021,1440.557,1559.076,1924.831,1529.533,1773.357,1643.319,1758.093,1362.318,1615.537,2153.681,1452.123,1461.554,2535.150,2409.405,1286.714,1174.359,1188.931,1327.989,1364.212,1203.414,1725.782,1205.513,1461.185,1909.424,1335.651,1368.039,1221.640,2371.260,1409.939,1301.630,1974.750,1264.429,1287.467,1339.926,1349.475
255,1695.977,1448.767,1177.126,1342.393,1152.173,1522.662,1349.064,1244.089,1541.281,1528.261,1634.814,1541.028,1358.049,1334.849,1457.053,1205.365,2323.990,1600.537,1394.812,1711.014,1433.593,1336.564,1652.993,1242.507,1449.155,1574.635,1957.985,1547.772,1757.155,1679.097,1784.137,1393.669,1583.559,2248.483,1414.898,1424.357,2513.669,2437.023,1289.780,1168.728,1184.611,1350.819,1371.894,1209.773,1686.410,1202.208,1456.728,1893.291,1348.049,1384.442,1219.478,2375.310,1400.929,1293.556,1974.917,1247.393,1318.495,1292.426,1304.695
256,1666.360,1434.651,1181.529,1289.167,1161.209,1518.271,1357.973,1262.849,1516.444,1537.420,1598.955,1496.161,1340.016,1358.333,1454.000,1190.683,2302.010,1628.390,1371.789,1691.400,1434.154,1345.903,1643.542,1245.764,1437.484,1564.552,1942.022,1557.598,1786.287,1666.014,1785.297,1409.397,1614.757,2151.736,1445.460,1459.500,2445.857,2419.160,1265.099,1180.262,1181.069,1336.215,1374.197,1209.281,1675.923,1192.201,1473.753,1900.323,1341.379,1400.473,1233.691,2355.370,1444.343,1300.809,1950.556,1235.411,1307.495,1310.418,1331.958
257,1657.116,1451.342,1176.477,1335.083,1172.540,1516.291,1351.917,1264.514,1516.842,1527.586,1604.372,1549.105,1334.623,1365.717,1476.039,1225.814,2225.558,1618.779,1393.805,1707.890,1413.066,1367.315,1614.177,1273.436,1428.897,1571.345,1965.294,1543.168,1753.481,1679.000,1785.797,1384.106,1610.125,2205.264,1463.358,1436.679,2539.444,2438.214,1260.429,1190.121,1179.023,1336.768,1372.970,1221.156,1662.474,1194.799,1480.444,1888.778,1339.631,1375.953,1231.838,2350.790,1396.879,1298.315,1999.972,1241.446,1310.252,1317.221,1317.797
258,1670.163,1455.329,1184.241,1318.131,1146.647,1527.411,1325.817,1259.349,1517.339,1543.287,1598.643,1580.434,1333.648,1373.758,1490.118,1212.200,2302.758,1638.044,1388.203,1694.772,1457.429,1358.582,1657.366,1258.079,1453.381,1582.614,1954.573,1558.962,1766.085,1695.431,1816.505,1379.768,1649.368,2242.659,1422.187,1399.571,2419.098,2418.229,1294.022,1191.748,1182.710,1335.831,1339.379,1228.953,1651.744,1198.195,1497.531,1902.867,1343.087,1423.411,1222.537,2307.480,1449.222,1307.062,2060.208,1286.643,1292.897,1324.607,1315.975
259,1671.116,1453.767,1163.747,1328.714,1165.892,1550.834,1356.743,1266.021,1508.614,1517.032,1616.337,1568.986,1309.869,1343.596,1473.447,1188.517,2321.063,1643.691,1393.984,1710.069,1414.209,1343.697,1654.608,1268.164,1478.000,1569.766,1978.309,1551.625,1737.163,1689.403,1789.247,1379.377,1624.875,2199.000,1456.316,1428.982,2450.857,2389.076,1296.099,1188.728,1208.947,1351.486,1354.667,1223.594,1666.859,1206.084,1483.642,1863.620,1352.058,1375.078,1219.235,2349.660,1397.273,1317.086,2037.958,1289.804,1301.458,1359.098,1321.814
